Timestamp,WiFi Attenuation,Noise
09:14:53,0,-077
09:14:54,0,-076
09:14:55,0,-078
09:14:56,0,-077
09:14:57,0,-076
09:14:58,0,-076
09:14:59,0,-078
09:15:00,0,-080
09:15:01,0,-082
09:15:02,0,-081
09:15:03,0,-079
09:15:04,1,-078
09:15:05,1,-077
09:15:06,1,-076
09:15:08,1,-076
09:15:09,1,-075
09:15:10,1,-076
09:15:11,1,-079
09:15:12,1,-078
09:15:13,1,-077
09:15:14,1,-076
09:15:15,1,-073
09:15:16,2,-076
09:15:17,2,-075
09:15:18,2,-076
09:15:19,2,-076
09:15:20,2,-076
09:15:21,2,-079
09:15:22,2,-080
09:15:23,2,-082
09:15:24,2,-082
09:15:25,2,-080
09:15:26,2,-077
09:15:27,3,-075
09:15:28,3,-076
09:15:30,3,-078
09:15:31,3,-081
09:15:32,3,-080
09:15:33,3,-078
09:15:34,3,-076
09:15:35,3,-074
09:15:36,3,-076
09:15:37,3,-080
09:15:38,3,-082
09:15:39,4,-081
09:15:40,4,-079
09:15:41,4,-076
09:15:42,4,-075
09:15:43,4,-076
09:15:44,4,-076
09:15:45,4,-075
09:15:46,4,-075
09:15:48,4,-076
09:15:49,4,-078
09:15:50,4,-080
09:15:51,5,-079
09:15:52,5,-077
09:15:53,5,-075
09:15:54,5,-077
09:15:55,5,-078
09:15:56,5,-078
09:15:57,5,-077
09:15:58,5,-076
09:15:59,5,-077
09:16:00,5,-078
09:16:01,5,-079
09:16:02,6,-080
09:16:03,6,-081
09:16:04,6,-080
09:16:05,6,-078
09:16:06,6,-075
09:16:07,6,-073
09:16:09,6,-073
09:16:10,6,-074
09:16:11,6,-076
09:16:12,6,-075
09:16:13,6,-077
09:16:14,7,-077
09:16:15,7,-075
09:16:16,7,-074
09:16:17,7,-073
09:16:18,7,-074
09:16:19,7,-076
09:16:20,7,-078
09:16:21,7,-080
09:16:22,7,-081
09:16:23,7,-081
09:16:24,7,-079
09:16:25,8,-079
09:16:27,8,-079
09:16:28,8,-077
09:16:29,8,-077
09:16:30,8,-077
09:16:31,8,-081
09:16:32,8,-080
09:16:33,8,-080
09:16:34,8,-079
09:16:35,8,-077
09:16:36,8,-076
09:16:37,9,-074
09:16:38,9,-075
09:16:39,9,-076
09:16:40,9,-078
09:16:41,9,-079
09:16:42,9,-077
09:16:44,9,-076
09:16:45,9,-077
