Timestamp,WiFi Attenuation,Signal Strength
09:14:53,0,-037
09:14:54,0,-037
09:14:55,0,-037
09:14:56,0,-038
09:14:57,0,-037
09:14:58,0,-037
09:14:59,0,-038
09:15:00,0,-037
09:15:01,0,-040
09:15:02,0,-038
09:15:03,1,-038
09:15:04,1,-038
09:15:05,1,-039
09:15:06,1,-039
09:15:08,1,-037
09:15:09,1,-037
09:15:10,1,-037
09:15:11,1,-037
09:15:12,1,-038
09:15:13,1,-036
09:15:14,1,-037
09:15:15,2,-038
09:15:16,2,-037
09:15:17,2,-040
09:15:18,2,-044
09:15:19,2,-048
09:15:20,2,-048
09:15:21,2,-046
09:15:22,2,-051
09:15:23,2,-044
09:15:24,2,-044
09:15:25,2,-044
09:15:26,3,-044
09:15:27,3,-038
09:15:28,3,-039
09:15:30,3,-039
09:15:31,3,-040
09:15:32,3,-040
09:15:33,3,-039
09:15:34,3,-039
09:15:35,3,-039
09:15:36,3,-039
09:15:37,3,-038
09:15:38,4,-039
09:15:39,4,-039
09:15:40,4,-038
09:15:41,4,-039
09:15:42,4,-040
09:15:43,4,-041
09:15:44,4,-043
09:15:45,4,-039
09:15:47,4,-040
09:15:48,4,-040
09:15:49,4,-042
09:15:50,5,-038
09:15:51,5,-041
09:15:52,5,-040
09:15:53,5,-041
09:15:54,5,-041
09:15:55,5,-041
09:15:56,5,-042
09:15:57,5,-042
09:15:58,5,-046
09:15:59,5,-049
09:16:00,5,-047
09:16:01,6,-047
09:16:02,6,-047
09:16:03,6,-047
09:16:04,6,-048
09:16:05,6,-048
09:16:06,6,-048
09:16:07,6,-048
09:16:09,6,-042
09:16:10,6,-042
09:16:11,6,-041
09:16:12,6,-043
09:16:13,7,-042
09:16:14,7,-043
09:16:15,7,-044
09:16:16,7,-044
09:16:17,7,-043
09:16:18,7,-043
09:16:19,7,-043
09:16:20,7,-043
09:16:21,7,-044
09:16:22,7,-044
09:16:23,7,-043
09:16:24,8,-043
09:16:25,8,-044
09:16:27,8,-044
09:16:28,8,-043
09:16:29,8,-044
09:16:30,8,-044
09:16:31,8,-045
09:16:32,8,-042
09:16:33,8,-044
09:16:34,8,-044
09:16:35,8,-044
09:16:36,9,-044
09:16:37,9,-045
09:16:38,9,-045
09:16:39,9,-048
09:16:40,9,-050
09:16:41,9,-052
09:16:42,9,-053
09:16:44,9,-053
09:16:45,9,-052
09:16:46,9,-052
09:16:47,9,-051
09:16:48,10,-050
09:16:49,10,-048
09:16:50,10,-048
09:16:51,10,-048
09:16:52,10,-045
09:16:53,10,-047
09:16:54,10,-046
09:16:55,10,-046
09:16:56,10,-046
09:16:57,10,-046
09:16:58,10,-046
09:16:59,11,-046
09:17:00,11,-046
09:17:01,11,-047
09:17:02,11,-047
09:17:03,11,-046
09:17:05,11,-047
09:17:06,11,-047
09:17:07,11,-047
09:17:08,11,-046
09:17:09,11,-046
09:17:10,11,-047
09:17:11,12,-047
09:17:12,12,-047
09:17:13,12,-048
09:17:14,12,-048
09:17:15,12,-047
09:17:16,12,-051
09:17:17,12,-048
09:17:18,12,-048
09:17:19,12,-049
09:17:20,12,-047
09:17:21,12,-047
09:17:23,13,-048
09:17:24,13,-051
09:17:25,13,-053
09:17:26,13,-053
09:17:27,13,-053
09:17:28,13,-053
09:17:29,13,-056
09:17:30,13,-056
09:17:31,13,-056
09:17:32,13,-049
09:17:33,13,-049
09:17:34,14,-048
09:17:35,14,-049
09:17:36,14,-049
09:17:37,14,-049
09:17:38,14,-048
09:17:39,14,-049
09:17:40,14,-050
09:17:42,14,-052
09:17:43,14,-050
09:17:44,14,-049
09:17:45,14,-049
09:17:46,15,-050
09:17:47,15,-053
09:17:48,15,-051
09:17:49,15,-052
09:17:50,15,-055
09:17:51,15,-054
09:17:52,15,-054
09:17:53,15,-051
09:17:54,15,-050
09:17:55,15,-052
09:17:56,15,-051
09:17:57,16,-052
09:17:58,16,-053
09:17:59,16,-053
09:18:00,16,-052
09:18:02,16,-052
09:18:03,16,-054
09:18:04,16,-054
09:18:05,16,-055
09:18:06,16,-055
09:18:07,16,-055
09:18:08,16,-056
09:18:09,17,-057
09:18:10,17,-057
09:18:11,17,-057
09:18:12,17,-057
09:18:13,17,-055
09:18:14,17,-052
09:18:15,17,-052
09:18:16,17,-052
09:18:17,17,-052
09:18:18,17,-052
09:18:19,17,-052
09:18:20,18,-052
09:18:21,18,-053
09:18:22,18,-057
09:18:24,18,-053
09:18:25,18,-053
09:18:26,18,-054
09:18:27,18,-055
09:18:28,18,-053
09:18:29,18,-053
09:18:30,18,-053
09:18:31,18,-053
09:18:32,19,-053
09:18:33,19,-054
09:18:34,19,-057
09:18:35,19,-054
09:18:36,19,-054
09:18:37,19,-053
09:18:38,19,-053
09:18:39,19,-053
09:18:40,19,-053
09:18:42,19,-053
09:18:43,19,-053
09:18:44,20,-054
09:18:45,20,-054
09:18:46,20,-054
09:18:47,20,-054
09:18:48,20,-054
09:18:49,20,-054
09:18:50,20,-054
09:18:51,20,-055
09:18:52,20,-055
09:18:53,20,-055
09:18:54,20,-056
09:18:55,21,-056
09:18:56,21,-054
09:18:57,21,-056
09:18:58,21,-056
09:18:59,21,-056
09:19:00,21,-056
09:19:01,21,-056
09:19:02,21,-056
09:19:03,21,-055
09:19:04,21,-055
09:19:06,21,-056
09:19:07,22,-055
09:19:08,22,-055
09:19:09,22,-056
09:19:10,22,-057
09:19:11,22,-057
09:19:12,22,-057
09:19:13,22,-057
09:19:14,22,-058
09:19:15,22,-058
09:19:16,22,-058
09:19:17,22,-058
09:19:18,23,-057
09:19:19,23,-058
09:19:20,23,-059
09:19:22,23,-059
09:19:23,23,-061
09:19:24,23,-061
09:19:25,23,-061
09:19:26,23,-061
09:19:27,23,-061
09:19:28,23,-061
09:19:29,23,-060
09:19:30,24,-060
09:19:31,24,-060
09:19:32,24,-061
09:19:33,24,-064
09:19:34,24,-064
09:19:35,24,-064
09:19:36,24,-064
09:19:37,24,-064
09:19:38,24,-064
09:19:39,24,-064
09:19:40,24,-064
09:19:41,25,-064
09:19:42,25,-063
09:19:43,25,-063
09:19:44,25,-063
09:19:46,25,-062
09:19:47,25,-062
09:19:48,25,-063
09:19:49,25,-063
09:19:50,25,-062
09:19:51,25,-062
09:19:52,25,-062
09:19:53,26,-062
09:19:54,26,-062
09:19:55,26,-063
09:19:56,26,-063
09:19:57,26,-063
09:19:58,26,-063
09:19:59,26,-063
09:20:00,26,-064
09:20:01,26,-064
09:20:03,26,-064
09:20:04,26,-064
09:20:05,27,-064
