Timestamp,WiFi Attenuation,Signal Strength,Noise,Transfer Rate,Bandwidth
09:14:46,0,0,0,264 KBytes,2.17 Mbits/sec
09:14:47,0,0,0,250 KBytes,2.05 Mbits/sec
09:14:48,0,0,0,242 KBytes,1.98 Mbits/sec
09:14:49,0,0,0,82.0 KBytes,672 Kbits/sec
09:14:50,0,0,0,219 KBytes,1.80 Mbits/sec
09:14:51,0,0,0,885 KBytes,7.25 Mbits/sec
09:14:52,0,0,0,1.06 MBytes,8.91 Mbits/sec
09:14:55,0,-037,-076,1.21 MBytes,10.2 Mbits/sec
09:14:56,0,-037,-078,817 KBytes,6.70 Mbits/sec
09:14:57,0,-038,-077,1.37 MBytes,11.5 Mbits/sec
09:14:58,0,-037,-076,1.40 MBytes,11.7 Mbits/sec
09:14:59,0,-037,-076,1.45 MBytes,12.2 Mbits/sec
09:15:00,0,-038,-078,1.31 MBytes,11.0 Mbits/sec
09:15:01,0,-037,-080,1.56 MBytes,13.1 Mbits/sec
09:15:02,0,-040,-082,1011 KBytes,8.28 Mbits/sec
09:15:03,0,-038,-081,530 KBytes,4.34 Mbits/sec
09:15:04,1,-038,-079,585 KBytes,4.80 Mbits/sec
09:15:05,1,-038,-078,706 KBytes,5.78 Mbits/sec
09:15:06,1,-039,-077,749 KBytes,6.14 Mbits/sec
09:15:06,1,-039,-077,1.14 MBytes,9.53 Mbits/sec
09:15:08,1,-039,-076,806 KBytes,6.60 Mbits/sec
09:15:09,1,-037,-076,1.26 MBytes,10.5 Mbits/sec
09:15:10,1,-037,-075,1.02 MBytes,8.60 Mbits/sec
09:15:11,1,-037,-076,1.36 MBytes,11.4 Mbits/sec
09:15:12,1,-037,-079,1.26 MBytes,10.5 Mbits/sec
09:15:13,1,-038,-078,1.36 MBytes,11.4 Mbits/sec
09:15:14,1,-036,-077,1.01 MBytes,8.47 Mbits/sec
09:15:15,1,-037,-076,1004 KBytes,8.22 Mbits/sec
09:15:16,2,-038,-073,891 KBytes,7.30 Mbits/sec
09:15:17,2,-037,-076,1.14 MBytes,9.60 Mbits/sec
09:15:17,2,-037,-076,49.5 KBytes,18.1 Mbits/sec
09:15:17,2,-037,-076,28.1 MBytes,7.85 Mbits/sec
09:15:17,2,-037,-076,27.8 MBytes,7.77 Mbits/sec
09:15:28,3,-038,-075,724 KBytes,5.93 Mbits/sec
09:15:30,3,-039,-076,1.41 MBytes,11.8 Mbits/sec
09:15:31,3,-039,-078,1.04 MBytes,8.75 Mbits/sec
09:15:32,3,-040,-081,1.03 MBytes,8.66 Mbits/sec
09:15:33,3,-040,-080,1.27 MBytes,10.7 Mbits/sec
09:15:34,3,-039,-078,1.17 MBytes,9.81 Mbits/sec
09:15:35,3,-039,-076,1.36 MBytes,11.4 Mbits/sec
